"orig.ident","Treatment","Cell_Annotation","Seurat_Clusters","UMAP_1","UMAP_2"
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.31118756144042,0.594586237669863
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.50737171976562,-1.2882443225375
"Vehicle","Vehicle_Tumor","Naive","6",9.4259468951941,3.59323851704685
"Vehicle","Vehicle_Tumor","Naive","6",9.15948552281861,4.9007410252103
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.595423918056441,-8.15102584719571
"Vehicle","Vehicle_Tumor","Naive","10",7.79615658910279,3.45606367230503
"Vehicle","Vehicle_Tumor","Effector_Memory","4",0.722371641707467,2.66109220624057
"Vehicle","Vehicle_Tumor","Naive","6",9.72591084630494,4.23862974286167
"Vehicle","Vehicle_Tumor","Naive","6",9.44166440160279,3.71909992337314
"Vehicle","Vehicle_Tumor","Exhausted","2",-3.63656860201354,-2.75201876521023
"Vehicle","Vehicle_Tumor","Naive","6",9.14724225194459,2.44052760243503
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.09286003916259,3.42020408749668
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.270138088452769,-7.36185796618374
"Vehicle","Vehicle_Tumor","Exhausted","2",-3.64499049990172,-4.3011108195773
"Vehicle","Vehicle_Tumor","Naive","6",6.94374436528687,4.12619535565463
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.522533710885,3.67648450970737
"Vehicle","Vehicle_Tumor","Stem_Like","9",-2.31439536421294,-5.2363668239108
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.7447803577661,4.68894378781406
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.24335509150024,-1.25670512080105
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.367832381117297,-7.7087469851962
"Vehicle","Vehicle_Tumor","Naive","6",9.28580540807252,4.40382711529819
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.51726203768249,-5.14443595766934
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.7083771785974,-0.448993281125151
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.69058256952758,-5.30153138995083
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.34572249262328,0.871329530478396
"Vehicle","Vehicle_Tumor","Better_Effector","3",-7.4372556766748,-0.353550211190306
"Vehicle","Vehicle_Tumor","Naive","6",9.19305009038453,4.14422623753635
"Vehicle","Vehicle_Tumor","Naive","6",9.37341851384645,3.98534409642307
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.21548729746337,-6.23425491213711
"Vehicle","Vehicle_Tumor","Exhausted","2",0.46767247111802,-8.25891502261075
"Vehicle","Vehicle_Tumor","Stem_Like","8",4.39200896413331,0.0676053011426106
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.58360844461913,-1.21356053709897
"Vehicle","Vehicle_Tumor","Naive","6",7.46298569829469,4.93806116223422
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.06683235971923,-1.32217581629666
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.945660766053153,-7.40327175021084
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.579222436833335,-6.97067840456875
"Vehicle","Vehicle_Tumor","Naive","6",7.87018460423951,5.04265920758335
"Vehicle","Vehicle_Tumor","Exhausted","2",0.687188688826608,-5.27999360918912
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.592334415602637,-7.72650106310757
"Vehicle","Vehicle_Tumor","Naive","1",6.17085332067018,-1.71152098536404
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-1.96455043165679,-5.71038539767178
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-7.72276764719482,1.05862121224491
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.62104874460692,1.73418609738437
"Vehicle","Vehicle_Tumor","Naive","6",8.85910386235719,4.45822803616611
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.40547901003356,-6.12846858858975
"Vehicle","Vehicle_Tumor","Naive","6",8.41236561925416,4.20243255734531
